timestamp,open,high,low,close,volume,sma_20,sma_50,rsi,macd,macd_signal,target_direction,target_price
2025-10-06,257.99,259.07,255.05,256.69,44664118,246.698,233.5806,75.86495535714289,7.111286564415735,6.869000867881589,0,256.48
2025-10-07,256.805,257.4,255.43,256.48,31955776,247.80450000000002,234.4292,74.83669412098843,6.8632625283147775,6.867853199968227,1,258.06
2025-10-08,256.52,258.52,256.11,258.06,36496895,249.368,235.365,78.27914798206288,6.716767770363134,6.837636114047209,0,254.04
2025-10-09,257.805,258.0,253.14,254.04,38322012,250.5685,236.2648,63.31047381546138,6.20476455236269,6.711061801710306,0,245.27
2025-10-10,254.94,256.38,244.0,245.27,61999098,251.12849999999997,237.01879999999997,32.14403700033034,5.033311722848225,6.37551178593789,1,247.66
2025-10-13,249.38,249.69,245.56,247.66,38142942,251.67649999999998,237.9244,39.084166397936094,4.248802392341474,5.950169907218608,1,247.77
2025-10-14,246.6,248.845,244.7,247.77,35477986,252.15749999999997,238.81279999999998,42.17241379310343,3.594513858271057,5.479038697429098,1,249.34
2025-10-15,249.485,251.82,247.47,249.34,33893611,252.675,239.7412,35.52479815455588,3.166173680771209,5.016465694097521,0,247.45
2025-10-16,248.25,249.04,245.13,247.45,39776974,253.15350000000004,240.42520000000002,34.88108720271792,2.6437285424933066,4.541918263776679,1,252.29
2025-10-17,248.02,253.38,247.27,252.29,49146961,253.49300000000002,241.07039999999998,46.468646864686434,2.590374333956561,4.151609477812655,1,262.24
2025-10-20,255.885,264.375,255.63,262.24,90483029,253.80100000000002,241.7282,59.500624219725374,3.3127848619240012,3.983844554634924,1,262.77
2025-10-21,261.88,265.29,261.83,262.77,46695948,254.218,242.44,59.20523138832999,3.8833026845546215,3.963736180618864,0,258.45
2025-10-22,262.65,262.85,255.43,258.45,45015254,254.525,243.01600000000002,51.5566037735849,3.941420036364292,3.9592729517679497,1,259.58
2025-10-23,259.94,260.62,258.0101,259.58,32754941,254.6605,243.54100000000003,51.82926829268293,4.032179556598493,3.9738542727340587,1,262.82
2025-10-24,261.19,264.13,259.18,262.82,38253717,255.02849999999998,244.1418,56.87991021324355,4.315798217105652,4.042243061608377,1,268.81
2025-10-27,264.88,269.12,264.6501,268.81,44888152,255.7475,244.8862,62.249155573216754,4.966658441524601,4.227126137591622,1,269.0
